epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5265,1.21207,3.37438,1.22027,0.2592,0.33856,0.20155,0.14744,1.02062,2.28685,1.17564,0.000157968,0.000157968,0.000157968
2,36.7059,1.20787,2.27857,1.20995,0.38181,0.36144,0.28177,0.21211,1.03005,1.93504,1.16401,0.000310365,0.000310365,0.000310365
3,53.4142,1.20766,2.07682,1.20715,0.35757,0.41965,0.31299,0.2386,1.04367,1.95938,1.18677,0.000456479,0.000456479,0.000456479
4,70.0575,1.21996,1.96304,1.21539,0.44463,0.48076,0.39979,0.31176,1.01486,1.70542,1.15045,0.000447726,0.000447726,0.000447726
